id;lon;lat;img
gencat_tavascan;1.256915;42.644804;http://www.tavascan.net/wp-content/uploads/coses-webcam/webcam.jpg
gencat_esterri_aneu;1.122711;42.626923;http://www.cannirus.net/rb/foto.jpg
gencat_saint_joan_lerm;1.286978;42.417716;http://www.santjoandelerm.com/camara/SantJoan.jpg
tiempovistazo_4292476;-4.763861;42.921501;http://www.php.eltiempodeunvistazo.com/phpimages/cardano1.php
tiempovistazo_3744604;-6.042298;37.443798;http://usuarios.tiempo.com/parungo/images/webcam.jpg
tiempovistazo_3691347;-3.470242;36.919189;http://www.spanishhighs.co.uk/capture2.jpg
tiempovistazo_42241973;1.973708;42.244297;http://webcam.lillet.net/captura/foto.jpg
tiempovistazo_42221945;1.94575;42.227222;http://webcam.lillet.net/falgars/falgars.jpg
tiempovistazo_3863115;-1.150024;38.633331;http://www.meteoyecla.com/webcam.jpg
tiempovistazo_41812100;2.100631;41.810452;http://www.elmoianes.net/images/capture1.jpg
tiempovistazo_4344388;-3.884139;43.444103;http://ojaizmeteo.net/webcam/imagen.jpg
tiempovistazo_4224043;-0.433273;42.249931;http://www.parquedeguara.es/webcam/parquedeguara000M.jpg
tiempovistazo_4082396;-3.9616442;40.8235139;http://ventamarcelino.com/meteo/foto.jpg
tiempovistazo_42312177;2.177739;42.31115;http://meteoribes.com/cam_1.jpg
tiempovistazo_42091845;1.845781;42.099194;http://fajula.cat/webcam/berga/foto.jpg
tiempovistazo_42391921;1.921036;42.398533;http://www.meteoqueixans.com/cam/cam03/currentCIF.jpg
tiempovistazo_4326406;-4.067591;43.2626;http://www.valledebuelnafm.com/images/webcam/image01.jpg
tiempovistazo_41741713;1.713073;41.743305;http://www.nins.biz/webcam/Fals.jpg
tiempovistazo_39893078;3.0786824;39.898008;http://www.php.eltiempodeunvistazo.com/phpimages/ptopollensa.php
tiempovistazo_4225730;-7.301638;42.25919;http://www.php.eltiempodeunvistazo.com/phpimages/cabezamanz.php
tiempovistazo_4270704;-7.045991;42.707748;http://www.php.eltiempodeunvistazo.com/phpimages/cebreiro.php
tiempovistazo_4235789;-7.893162;42.351185;http://www.php.eltiempodeunvistazo.com/phpimages/orense.php
tiempovistazo_3946037;-0.374836;39.4670141;http://www.php.eltiempodeunvistazo.com/phpimages/valenciatrjativa.php
tiempovistazo_4315481;-4.812698;43.15646;http://www.php.eltiempodeunvistazo.com/phpimages/fuentede.php
tiempovistazo_4297577;-5.7781;42.976849;http://www.valgrande-pajares.com/webcam/010103G.jpg
